"","Male","Married","Protestant","Republican","GunOwner","Bush"
"46",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"47",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"48",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"49",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"50",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"51",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"52",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"53",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"54",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"55",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"56",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"57",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"58",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"59",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"60",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
"61",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"62",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"63",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"64",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"65",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"66",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"67",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"68",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"69",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"70",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
"71",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"72",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"73",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"74",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"75",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"76",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"77",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"78",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"79",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"80",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"81",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"82",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"83",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"84",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"85",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"86",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"87",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"88",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"89",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"90",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"91",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"92",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"93",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"94",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"95",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"96",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"97",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"98",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"99",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"100",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"101",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"102",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"103",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"104",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"105",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"106",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"107",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"108",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"109",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"110",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"111",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"112",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"113",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"114",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"115",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"116",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
"117",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"118",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"119",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"120",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"121",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"122",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"123",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"124",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"125",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"126",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"127",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"128",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"129",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"130",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"131",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"132",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"133",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"134",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"135",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"136",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"137",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"138",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"139",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
"140",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"141",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"142",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"143",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"144",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"145",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"146",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"147",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"148",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"149",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"150",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"151",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
"152",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"153",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"154",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"155",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"156",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"157",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"158",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"159",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"160",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"161",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
"162",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"163",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"164",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"165",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
"166",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"167",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
"168",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"169",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"170",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"171",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"172",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"173",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"174",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
"175",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
"176",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"177",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"178",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
"179",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"180",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"181",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"182",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"183",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"184",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
"185",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"186",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"187",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"188",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"189",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"190",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"191",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"192",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"193",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"194",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"195",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"196",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"197",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"198",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"199",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
"200",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"201",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
"202",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
"203",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"204",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"205",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"206",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"207",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"208",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"209",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"210",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"211",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"212",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"213",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"214",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"215",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"216",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"217",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"218",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"219",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"220",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"221",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"222",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"223",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"224",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"225",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
"226",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"227",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"228",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
"229",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"230",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"231",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"232",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"233",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
"234",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"235",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"236",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"237",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"238",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"239",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"240",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"241",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"242",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"243",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"244",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
"245",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"246",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"247",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"248",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"249",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"250",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"251",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"252",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"253",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"254",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"255",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
"256",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"257",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"258",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"259",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"260",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"261",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"262",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"263",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"264",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"265",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"266",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"267",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"268",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"269",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"270",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"271",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"272",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"273",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"274",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"275",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"276",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"277",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
"278",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"279",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"280",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"281",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"282",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"283",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"284",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"285",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"286",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"287",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"288",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"289",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"290",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"291",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"292",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"293",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"294",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"295",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"296",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"297",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"298",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"299",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"300",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"301",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"302",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"303",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"304",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"305",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
"306",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"307",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"308",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"309",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"310",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"311",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"312",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"313",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"314",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"315",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"316",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"317",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
"318",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"319",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"320",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"321",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"322",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"323",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"324",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
"325",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"326",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"327",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"328",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"329",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
"330",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"331",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"332",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"333",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"334",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"335",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"336",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"337",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"338",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"339",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"340",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"341",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"342",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"343",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"344",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"345",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"346",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"347",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"348",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
"349",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"350",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"351",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"352",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"353",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"354",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"355",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"356",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"357",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"358",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"359",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"360",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"361",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"362",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"363",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"364",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"365",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"366",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"367",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"368",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"369",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"370",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"371",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"372",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
"373",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"374",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"375",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"376",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"377",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"378",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"379",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"380",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"381",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"382",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"383",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"384",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"385",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"386",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"387",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"388",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"389",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"390",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"391",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"392",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"393",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"394",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"395",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"396",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"397",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"398",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"399",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"400",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"401",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"402",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"403",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"404",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"405",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"406",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"407",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"408",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"409",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"410",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"411",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
"412",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"413",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"414",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"415",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"416",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"417",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
"418",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"419",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
"420",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"421",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
"422",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
