AGE,SCHOOL,GAIN,HOURS,RICH
34,9,0,40,0
20,10,0,30,0
17,7,2176,18,0
32,13,0,40,1
29,9,0,40,0
33,6,0,35,0
25,9,0,60,0
36,14,0,40,0
23,9,0,72,0
63,9,0,40,1
47,14,0,40,0
80,9,0,24,0
17,7,0,40,0
40,13,2174,40,0
30,12,0,25,1
27,10,0,40,0
33,14,0,50,1
34,9,594,60,0
34,10,0,40,0
23,10,0,40,0
42,10,0,40,0
29,13,0,40,0
45,9,0,28,0
24,9,0,40,0
44,10,0,40,1
27,5,0,40,0
20,10,0,35,0
44,9,0,40,0
51,9,0,40,0
20,9,0,40,0
17,7,0,5,0
19,9,0,40,0
45,10,0,55,1
60,9,0,40,1
42,12,0,40,1
44,9,0,40,1
40,11,0,40,1
30,9,0,40,0
38,10,0,50,0
23,9,0,60,0
32,10,0,40,0
44,12,0,40,0
54,9,0,40,0
32,13,0,50,0
50,2,0,40,0
24,13,0,20,0
37,9,0,60,0
52,9,0,40,0
38,10,0,40,0
49,14,0,45,1
30,13,0,16,1
60,10,0,40,1
22,10,0,40,0
35,9,0,40,0
30,9,0,60,0
67,11,0,24,0
46,13,0,40,0
17,5,0,6,0
22,10,0,30,0
27,6,0,40,0
23,9,0,35,0
33,12,0,45,0
43,10,0,20,0
28,13,0,20,0
41,9,0,40,0
52,8,594,40,0
25,10,0,20,0
63,2,0,35,0
59,9,0,45,0
45,13,0,40,0
38,13,15024,60,1
40,9,0,35,0
46,9,0,40,0
35,12,0,60,0
34,9,0,25,0
33,13,0,20,0
41,9,0,36,0
20,10,0,40,0
23,3,0,40,0
26,10,0,35,0
72,9,0,20,0
23,9,0,40,0
62,9,0,40,0
52,10,0,40,0
58,10,0,42,0
25,13,0,40,0
24,13,0,40,0
19,10,0,8,0
43,10,0,40,0
47,9,0,40,0
39,9,0,40,0
49,11,0,42,0
53,3,0,30,0
32,11,0,45,0
34,10,0,50,1
28,9,0,45,0
57,11,0,38,0
25,10,0,20,0
20,10,0,24,0
21,10,0,35,0
34,13,0,50,1
38,13,15024,80,1
50,9,7688,50,1
24,10,0,50,0
37,10,0,45,1
44,10,0,58,1
28,10,0,40,0
42,13,0,40,1
74,10,0,9,0
38,9,0,50,0
44,14,0,40,0
44,7,0,46,0
26,9,0,40,0
36,9,0,40,0
41,12,0,50,1
67,15,20051,48,1
39,8,0,50,0
57,2,0,30,0
29,11,0,40,0
31,13,0,45,0
34,9,0,40,0
44,10,0,40,0
29,16,0,40,0
30,10,0,40,0
27,9,0,40,0
27,10,0,50,0
32,9,0,45,0
58,6,0,8,0
35,10,0,40,0
21,9,0,36,0
28,10,0,40,0
46,10,0,50,0
36,9,0,40,0
72,7,0,40,0
35,9,0,40,0
33,11,0,40,1
69,7,0,40,0
35,9,0,40,0
31,9,0,20,0
34,9,0,32,0
30,7,0,40,0
28,13,0,55,0
54,13,0,35,1
47,10,0,50,1
24,9,0,40,0
52,13,0,60,1
20,9,0,48,0
43,14,5013,45,0
45,4,0,40,0
29,9,0,35,0
47,14,0,42,0
24,9,0,40,0
51,9,0,40,0
17,7,0,12,0
37,11,0,40,1
27,16,0,70,0
29,13,0,40,1
18,8,0,25,0
36,12,0,35,0
58,13,0,40,0
26,10,0,45,0
65,10,0,30,1
57,9,0,40,1
59,9,0,40,0
27,9,0,40,0
31,13,0,40,0
21,10,0,24,0
29,10,0,60,0
18,7,0,40,0
52,6,0,47,1
57,13,0,80,0
42,9,0,40,0
55,9,0,40,0
60,4,0,48,1
31,13,7688,40,1
23,13,0,40,0
27,9,0,40,0
23,10,0,25,0
42,15,0,50,1
25,10,2174,40,0
49,13,0,45,0
32,13,0,40,0
19,10,0,28,0
60,4,0,40,0
42,5,0,40,0
35,12,0,40,0
48,9,0,37,0
51,14,0,40,1
29,9,0,40,0
36,9,0,40,0
17,6,0,21,0
52,14,6849,60,0
24,9,0,40,0
24,9,0,50,0
26,13,1055,40,0
27,13,0,20,0
39,9,0,60,0
30,9,0,45,0
50,9,0,32,0
52,13,0,55,0
46,15,15024,45,1
23,13,0,20,0
45,7,0,20,0
65,5,0,24,0
29,11,0,55,0
47,5,0,40,0
30,9,0,60,0
34,9,0,45,1
38,9,0,64,0
33,10,0,40,1
49,13,0,26,1
47,10,0,40,0
49,6,0,40,0
43,10,15024,60,1
30,13,0,40,1
58,9,0,60,0
19,9,0,14,0
21,13,0,40,0
33,13,15024,60,1
47,3,0,50,0
52,16,0,60,1
26,9,0,55,0
60,9,0,40,0
21,10,0,40,0
36,10,5178,50,1
31,10,0,45,0
50,16,0,40,1
31,9,0,40,0
71,9,0,15,0
58,9,0,50,0
30,13,0,40,1
20,10,0,20,0
24,9,4101,50,0
35,16,0,40,1
38,10,0,45,0
27,9,0,32,0
29,10,0,40,0
70,5,1111,15,0
34,9,0,45,0
44,4,0,35,0
43,9,0,40,1
44,8,0,40,1
35,14,0,60,0
27,10,0,40,0
43,14,0,38,0
20,10,0,25,0
42,12,8614,40,1
27,10,3411,40,0
42,9,0,40,1
20,7,0,40,0
24,5,0,40,0
48,10,0,40,0
17,7,0,20,0
17,7,0,10,0
33,13,0,40,1
50,9,0,50,1
22,9,2597,40,0
17,8,0,16,0
32,10,0,40,0
31,9,0,45,0
58,9,0,50,0
29,9,0,48,0
37,11,0,40,1
34,9,0,40,1
23,10,0,40,0
18,7,0,5,0
34,9,0,40,0
66,4,0,4,0
45,13,0,55,0
41,14,0,35,0
26,9,0,30,0
54,10,0,40,0
24,10,0,45,0
42,10,0,50,0
20,10,0,20,0
23,13,0,20,0
25,12,0,45,0
35,14,0,60,1
31,14,0,40,1
30,13,0,40,0
19,9,0,20,0
36,13,0,50,0
31,13,0,40,0
21,10,0,30,0
31,10,0,40,0
46,16,25236,65,1
44,13,0,50,1
40,8,0,40,0
45,10,0,40,0
60,9,0,35,0
18,7,0,25,0
28,13,0,40,0
36,10,0,40,0
36,13,0,40,0
40,11,4386,40,0
36,13,0,35,0
31,9,0,40,0
33,9,0,40,0
19,9,0,40,0
22,10,0,15,0
34,13,0,45,1
33,9,0,40,0
41,9,0,60,0
29,13,4650,40,0
50,9,0,42,1
42,13,7298,45,1
43,13,0,40,1
44,9,0,40,0
20,10,0,20,0
31,9,0,40,0
65,7,9386,59,1
23,10,0,24,0
55,10,0,40,0
26,11,0,45,0
25,11,0,15,0
45,10,0,40,0
35,10,2407,40,0
36,10,0,36,0
43,13,0,50,0
56,9,594,20,0
42,13,0,40,1
19,10,0,25,0
55,9,0,72,0
42,14,14084,50,1
26,11,0,40,0
17,8,0,20,0
42,13,0,40,1
55,9,7688,40,1
32,10,0,40,0
29,7,0,40,0
46,13,0,37,0
29,13,7688,40,1
22,13,0,20,0
58,6,0,40,0
23,9,0,50,0
39,9,0,40,0
27,11,0,38,0
54,9,0,40,1
33,13,0,45,0
46,9,0,40,1
37,9,0,40,0
36,9,0,18,0
59,9,0,38,1
34,9,0,40,0
53,16,0,70,1
51,13,0,55,1
32,6,0,42,0
31,10,0,40,0
22,10,0,30,0
47,13,0,50,0
32,9,0,40,0
26,10,0,38,0
37,3,0,32,0
31,9,0,55,0
37,11,0,24,1
55,9,0,38,0
23,11,0,56,0
36,10,0,40,0
34,14,0,40,0
43,13,0,50,1
54,10,0,40,0
43,10,0,40,0
28,11,0,42,0
40,11,0,50,1
41,10,0,60,0
40,13,0,55,1
42,10,0,38,0
61,9,0,50,0
18,8,0,30,0
59,9,0,16,0
21,9,1055,40,0
48,11,0,50,1
41,13,0,40,0
18,10,0,33,0
23,9,2463,40,0
60,9,0,60,1
22,10,0,20,0
61,9,0,40,0
25,9,0,40,0
46,14,0,35,1
43,13,0,40,1
43,12,0,40,0
24,9,0,30,0
68,7,0,20,0
31,9,0,38,0
17,7,0,20,0
32,9,5178,48,1
50,14,0,40,0
33,13,3103,47,1
64,13,0,40,1
20,9,0,30,0
30,9,0,36,0
22,10,0,40,0
43,10,0,45,0
22,10,0,40,0
17,6,0,20,0
47,9,0,75,0
41,11,0,60,0
56,10,0,50,1
64,9,0,45,0
47,9,0,50,1
48,11,0,40,0
31,14,0,46,0
29,11,0,40,0
30,9,0,40,0
32,9,0,60,0
57,9,0,42,1
62,9,0,40,0
39,9,0,24,0
43,10,0,25,0
24,13,0,40,0
42,7,0,15,0
53,10,4386,40,1
26,10,0,40,0
73,9,0,40,0
72,7,0,24,0
55,9,0,40,0
25,9,0,40,0
41,13,0,50,1
24,13,0,50,0
63,9,0,6,0
17,7,0,20,0
35,10,0,50,0
51,10,0,40,1
62,13,0,48,0
55,9,4386,40,1
43,10,0,40,0
40,9,0,50,0
37,13,0,45,1
39,13,0,40,0
31,9,0,18,0
61,14,0,40,1
26,11,0,55,0
46,9,0,50,0
26,13,0,40,0
48,16,0,50,1
34,9,0,40,0
34,9,0,40,0
59,9,0,40,1
34,13,0,40,0
49,13,0,56,1
18,7,0,20,0
43,9,0,40,0
48,7,0,50,0
28,10,0,70,0
33,9,0,40,0
24,10,0,15,0
21,6,0,40,0
17,7,0,28,0
39,10,0,50,1
29,13,0,40,0
44,13,0,40,1
24,10,0,50,0
71,14,10605,40,1
51,13,0,40,1
55,3,0,25,0
41,13,0,60,1
23,9,0,7,0
38,11,0,40,0
39,9,0,40,1
19,9,0,30,0
49,5,0,40,0
32,13,0,40,1
27,9,0,70,0
38,13,0,50,1
33,10,0,60,0
63,10,0,15,0
23,13,0,28,0
33,10,0,60,0
54,9,0,40,0
29,11,2174,45,0
48,10,0,30,0
35,13,0,40,0
28,11,0,40,0
37,13,7688,50,1
42,15,0,65,1
40,14,0,40,0
47,10,0,55,0
22,13,0,50,0
30,13,0,45,1
28,9,0,40,0
63,4,0,55,0
51,5,0,20,0
22,9,0,40,0
27,12,0,40,0
35,9,0,45,0
46,9,0,38,0
37,10,0,52,0
24,13,0,15,0
37,9,0,10,0
53,10,0,40,0
27,9,0,30,0
38,10,0,44,0
53,6,0,60,0
34,10,0,40,0
23,9,0,40,0
39,13,15024,45,1
43,14,0,50,0
67,9,0,40,1
81,9,0,30,0
21,10,0,20,0
23,10,0,25,0
25,10,0,40,0
42,3,0,38,0
38,10,0,40,0
64,9,0,5,0
32,9,0,40,0
37,9,0,40,0
51,14,0,60,1
22,10,0,42,0
33,2,0,40,0
42,9,0,55,0
19,10,0,10,0
51,1,0,40,0
23,9,0,40,0
37,7,3103,44,1
37,9,0,99,1
47,14,0,25,0
41,15,0,40,1
33,9,0,30,0
31,13,0,40,1
31,12,0,40,0
35,9,0,40,0
38,9,0,40,1
18,9,0,45,0
20,9,0,40,0
54,10,0,35,0
40,10,0,40,0
36,13,0,45,1
43,10,0,35,0
44,10,0,40,0
44,9,0,40,1
43,14,0,43,1
51,4,0,40,0
18,9,0,20,0
51,10,0,40,0
41,6,0,30,0
44,10,0,70,1
33,6,0,40,0
33,13,0,40,1
42,12,0,40,1
25,10,0,45,0
32,9,0,38,0
32,13,0,70,0
36,6,0,40,0
28,9,0,40,0
20,9,0,20,0
35,10,0,60,1
55,9,0,20,0
48,13,0,40,1
36,11,0,20,0
34,9,0,35,1
28,13,0,35,0
67,13,0,40,1
37,9,0,40,0
44,9,0,70,0
25,10,0,40,0
21,10,4101,40,0
40,14,0,35,1
78,9,2964,40,0
34,9,0,40,0
49,9,0,44,0
22,12,0,40,0
23,9,0,40,0
60,9,0,42,0
45,9,0,40,1
63,11,0,20,0
41,9,0,35,0
47,9,0,40,0
44,9,0,40,0
51,10,3325,40,0
46,13,0,40,0
41,11,0,40,0
50,9,0,30,0
47,9,0,50,1
35,9,0,45,0
56,9,0,55,1
45,14,0,45,0
48,13,0,58,1
40,10,2580,40,0
39,13,15024,50,1
20,10,0,40,0
50,16,0,65,1
38,9,0,40,1
23,13,0,60,0
31,9,0,16,0
58,13,0,40,0
66,9,0,40,0
39,9,0,40,1
54,9,15024,52,1
26,10,0,50,0
51,9,0,40,0
34,11,0,40,0
50,9,3103,40,1
42,10,0,44,1
38,14,0,25,0
48,4,0,40,0
33,11,0,40,1
51,9,0,32,0
22,9,0,40,0
19,9,0,30,0
41,10,0,50,0
48,14,0,35,1
42,9,0,30,0
34,10,0,40,0
23,9,0,40,0
56,9,0,50,0
30,13,0,45,0
45,9,0,55,1
48,6,0,40,0
48,14,0,50,0
31,11,0,40,0
20,12,0,20,0
27,10,0,40,0
32,9,0,40,0
76,4,0,2,0
19,9,0,40,0
66,5,1409,1,0
37,9,0,75,0
34,9,0,30,0
34,7,0,8,0
90,9,0,40,0
23,10,0,40,0
43,10,0,40,0
44,13,7688,60,1
24,10,0,37,0
28,15,0,55,0
64,12,0,20,0
23,10,0,40,0
20,10,0,50,0
36,13,0,50,1
61,9,0,40,0
53,13,0,40,1
30,13,7298,40,1
52,10,0,55,1
38,10,0,40,0
32,13,0,40,0
30,8,0,75,0
41,11,0,40,0
49,14,0,40,1
45,9,0,47,1
43,9,0,35,0
61,9,3471,40,0
54,9,0,32,0
34,12,0,40,0
49,10,0,80,1
38,10,0,40,0
35,15,0,80,1
36,8,0,40,0
30,13,0,50,0
36,12,0,60,0
22,13,0,20,0
38,9,0,40,1
37,9,0,50,1
48,16,0,46,1
17,7,0,15,0
19,10,0,20,0
27,13,0,40,0
22,13,0,50,0
49,9,0,40,0
43,11,0,40,1
43,13,0,40,0
19,9,0,35,0
58,9,0,60,0
41,10,0,40,1
31,10,0,40,0
30,11,0,40,0
32,9,0,40,0
29,13,0,35,0
42,10,7298,52,1
38,9,0,28,0
41,12,0,40,1
44,13,0,50,1
31,16,0,60,0
34,9,0,40,0
21,10,0,40,0
22,13,0,20,0
62,6,0,40,0
19,9,0,40,0
29,9,0,25,1
43,10,0,40,0
68,4,0,8,0
45,13,0,60,1
39,5,0,40,0
41,13,0,50,0
34,12,0,25,1
34,9,0,33,0
31,13,0,47,0
29,9,0,25,0
41,13,3103,40,1
41,11,0,55,0
35,14,0,45,1
33,13,0,45,1
37,13,0,38,0
69,9,0,40,0
34,9,0,40,0
60,11,0,70,1
36,10,0,40,0
41,9,0,50,0
58,13,0,40,1
53,13,0,40,0
29,10,0,40,0
45,9,4865,40,0
34,10,0,38,0
36,13,0,40,0
48,10,0,35,0
20,11,0,40,0
35,9,0,50,1
63,9,0,40,0
41,10,0,45,0
28,13,0,45,0
30,10,0,40,0
34,9,0,40,0
31,9,0,40,0
37,11,0,38,0
42,10,0,40,0
31,10,0,50,1
46,14,0,45,1
35,9,0,60,1
27,9,0,53,0
41,2,0,35,0
19,10,0,20,0
20,10,0,45,0
59,9,0,40,0
40,13,0,37,0
56,10,0,60,0
33,14,15024,44,1
30,10,0,60,0
46,9,0,50,0
61,9,0,35,1
50,9,7298,40,1
25,9,0,30,0
40,10,0,39,0
24,10,0,40,0
51,9,0,54,0
43,9,0,40,0
34,10,0,54,0
46,9,0,45,1
28,14,0,50,1
26,13,0,40,0
20,9,0,28,0
44,11,3411,40,0
51,9,0,40,0
33,13,0,60,1
54,12,0,40,1
50,13,0,40,1
33,9,0,40,0
65,13,10605,20,1
22,10,0,8,0
88,15,0,40,0
40,9,0,40,0
51,9,0,43,0
50,7,0,40,0
25,14,0,99,1
20,11,0,30,0
47,9,0,40,0
58,10,0,40,1
22,11,0,30,0
50,9,0,48,1
47,9,0,40,0
24,7,0,45,0
50,9,0,40,1
40,13,0,45,1
36,13,0,40,0
32,9,0,40,0
44,9,0,40,0
51,14,0,40,0
59,10,0,40,0
65,9,0,30,0
24,13,0,65,0
27,13,0,35,0
51,11,0,40,0
48,10,0,40,1
39,9,0,60,0
28,13,0,40,0
19,10,0,25,0
49,13,0,40,0
51,12,0,60,0
59,14,0,55,0
18,9,0,40,0
50,9,4386,40,0
45,9,0,80,1
30,13,0,50,1
37,13,0,35,0
44,13,0,40,1
33,10,0,40,0
61,14,0,40,1
61,9,0,40,0
38,13,0,42,1
22,10,0,30,0
36,9,0,45,0
44,10,5178,60,1
37,10,0,62,0
31,10,0,20,0
54,16,15024,45,1
20,10,0,16,0
63,13,0,40,1
48,10,7688,40,1
33,9,0,41,0
31,13,4650,45,0
38,15,0,40,1
45,9,0,40,1
48,9,0,40,0
53,10,0,40,0
55,9,0,40,0
38,14,0,72,1
29,9,0,40,0
36,13,0,60,1
42,10,0,60,0
50,9,0,40,0
75,15,0,35,0
46,13,0,40,1
52,9,0,40,0
27,13,0,40,0
43,9,0,45,0
31,7,0,42,0
23,10,0,30,0
34,9,0,24,0
41,9,0,40,0
31,9,0,30,0
42,10,0,40,0
35,14,0,45,1
55,9,0,25,0
36,9,0,40,0
65,9,0,59,1
38,10,0,12,0
62,10,0,20,0
54,15,99999,60,1
49,9,0,40,0
34,9,0,40,0
32,9,0,40,0
51,14,15024,50,1
48,10,0,60,0
30,9,0,40,0
52,9,0,43,0
28,10,0,40,0
29,9,0,40,0
38,13,0,50,0
57,9,0,50,1
43,13,0,40,1
37,10,0,40,0
30,9,0,40,0
53,9,0,48,1
69,11,0,1,0
73,9,0,37,0
22,10,0,35,0
31,9,0,45,0
38,13,0,40,1
50,10,0,35,0
37,10,0,37,0
44,13,0,40,0
47,13,0,45,0
27,10,0,40,0
28,12,0,80,0
25,9,0,40,0
20,10,0,40,0
51,13,0,40,1
46,13,0,40,1
67,13,6514,7,1
47,9,0,35,0
42,9,0,40,0
52,9,0,50,0
42,12,0,40,1
65,9,0,40,1
21,10,0,10,0
50,9,5178,40,1
46,10,0,40,0
47,13,15024,50,1
57,6,0,40,0
37,13,0,45,0
50,9,0,40,0
58,8,0,40,0
63,2,0,30,0
39,9,0,65,0
46,14,0,35,0
36,9,0,40,0
26,3,0,50,0
21,10,0,57,0
41,12,0,40,0
44,10,0,40,0
22,9,0,40,0
29,10,0,60,0
29,9,0,40,0
58,10,0,40,1
36,15,0,50,0
30,11,0,48,0
37,13,0,43,1
29,11,0,40,0
26,3,0,40,0
43,9,0,45,0
49,9,0,40,1
45,13,0,40,0
28,13,0,40,0
20,10,0,25,0
51,9,0,40,0
32,10,0,50,1
24,9,0,40,0
35,16,7298,40,1
35,12,0,55,0
41,13,0,40,1
48,13,0,45,1
61,9,1471,35,0
20,10,0,30,0
27,9,0,50,1
55,10,0,24,1
39,9,0,40,1
17,6,0,20,0
47,9,0,40,0
52,9,0,40,1
24,9,0,20,0
29,7,0,40,0
25,9,0,40,0
20,10,0,40,0
23,9,0,35,0
57,15,0,60,0
51,11,0,40,1
33,10,3674,16,0
39,13,0,40,0
40,9,0,40,1
71,13,2329,16,0
38,10,0,40,0
28,15,0,40,0
57,14,0,40,0
47,10,0,40,0
59,9,0,40,0
26,9,0,40,0
35,13,0,40,0
61,13,0,50,1
17,7,0,30,0
36,13,0,60,1
62,4,3411,50,0
34,10,0,50,1
32,13,7688,50,1
42,9,0,40,0
39,10,0,40,0
58,3,0,40,0
61,9,0,60,1
40,6,0,55,0
31,13,0,37,0
36,9,0,50,0
23,10,0,40,0
33,9,0,41,0
52,9,0,40,1
22,9,0,24,0
51,10,0,40,0
31,11,0,40,0
49,9,0,40,0
49,9,0,40,0
53,10,0,40,0
52,9,99999,40,1
20,6,0,40,0
26,12,0,40,0
61,9,0,6,0
43,14,0,30,0
46,13,0,52,0
43,11,0,35,0
41,9,0,40,0
44,9,0,55,0
54,9,0,40,0
65,14,20051,40,1
32,13,0,40,0
25,10,0,40,0
23,13,0,50,0
25,13,0,45,0
19,10,0,50,0
